,Mean,AR(1),MIDAS [EW],DFM [A],DFM [B],singleESN [A] [EW],singleESN [B] [EW],multiESN [A] [EW],multiESN [B] [EW]
0,-0.0019005457419318554,0.00025811243305071466,-0.002418793042137086,-0.003139158347689499,-0.005334412581583499,-0.001807805631170509,-0.0024575901104764483,-0.0014899665568434695,-0.0011344813553494613
1,0.0017185276292484043,0.0025121612003611363,0.003707917864805162,0.0029792722465595,-0.00046447638878200064,0.003955572743287701,0.004303394278274431,0.004732621505085692,0.0022871066780239865
2,0.004500371445944512,0.003685772356320672,0.0008158970933456371,0.0044396757852466,0.0025655616242858,0.0015775266312756534,0.0005710417080874311,0.0021947632498357716,0.0033945253650803824
3,0.005100441272497996,0.0030435375127370245,0.006017745908341835,0.0066323458653789,0.0042301756403934,0.005588624392537949,0.005615834580150949,0.006225364985155174,0.005868306670192328
4,-0.002497679376756496,-0.004840875998205147,0.00126560604078561,-0.0007683465930424013,-0.002619991781553901,-0.001243793854084933,-0.0015313310786515032,-0.0008343217233254966,-0.0008639034627538787
5,0.00477675466946661,0.005831128875311245,0.006545572213623261,0.0072110955573856,0.0043330472359704,0.005853467993793239,0.005747981168436718,0.00593522177144468,0.006077357001223685
6,-0.0017665429386052684,-0.003913092952653612,-0.0011769387259105866,-0.0011807378665947997,-0.0027837400796072,-0.0005854418619586346,-0.001347720109273873,-0.0012020984746158444,-0.0010149184036087775
7,-0.0009491260583610441,-0.0002333178130443812,0.00014551363882765473,0.0016358150802242002,-0.0010371476672226005,0.0013119071175651852,0.0010586782080534264,0.00043072760576226034,0.0007919044159318761
8,0.00965454228572985,0.010016579117868562,0.010452657316132,0.0118999372348908,0.0097899404499424,0.010508989684675533,0.010090468486064772,0.010013131208701155,0.010553996257555605
9,-0.00671176845511886,-0.010925705869679815,0.0004300471836211489,-0.004441127573635099,-0.005672669542763399,-0.0012314429576984962,-0.0015263106484228947,-0.001233266348756791,-0.0029702287402417864
10,-0.005466024298922463,-0.00280460267268106,-0.004137376972717987,-0.0020118531557048007,-0.005619658173479301,-0.003283352834726156,-0.0034273775099737704,-0.0037745955894253145,-0.003311502633372281
11,0.0016915858310505207,0.0038774604375292343,-0.0009219225723552681,0.0044254578360482,0.0013392443287036006,0.002074365711052655,0.0015050977370358208,0.0022416113357549656,0.0029468716526746125
12,-0.001945686240862385,-0.002675455489680246,-0.0013888390174522048,3.36008072334016e-05,-0.0024996619920189993,-0.00047840023806385284,-0.0005714907257852522,-0.0012052791482201506,-0.0014309511791390592
13,0.00039055954467497305,0.0011259858384560905,-0.001538904716644419,0.0011701433222532,-0.0008360121796053997,-0.0011031074577376992,-0.0015758882947059984,-0.0004944296124115661,-0.00033833974752854774
14,0.002941480043652901,0.002738129561879466,0.0010550217722418063,0.0046066661967969005,0.0033066560950514,0.0026291502342333877,0.0026351101226244696,0.0024797028880250128,0.002840757123231587
15,0.00468015617782056,0.003451860277443134,0.0037971378069311247,0.0047206517840808,0.0038588483303679,0.004427346556413223,0.00424630242102534,0.004076096548633678,0.004486275001880367
16,0.0002219200444139452,-0.001717085749261574,-0.0042444629936421304,0.0016739683179840007,0.0001727966787816006,0.00013909548909816442,-0.00011248366692752192,-0.00011964368255716791,-2.6249605525659886e-05
17,0.0030749911216127316,0.002939789574476407,0.0005324499592938262,0.004458653734659,0.0031982012424121996,0.00189637647089104,0.0022769349817754803,0.0016167522447015762,0.0023001212373099825
18,7.214819931143819e-05,-0.001211393673089728,0.0019076026481756247,0.0005578306663578001,-0.00019544422386310028,0.0012941669813703663,0.0006880313682317138,0.0009041989299158225,0.0006336751097765804
19,0.0011080490235111824,0.001033753423164873,-0.0010581437014944104,0.0021084283612738007,0.0008687046989602001,0.00045396757525808205,0.0008940438507067921,0.0008407713909025253,0.0008761996726535728
20,0.0013461637028608225,0.0008561610900608791,0.00044697838221584123,0.0030937481676936007,0.0026075148370739007,0.0016950454493854412,0.001885644865085071,0.002683232359669805,0.001538029030573017
21,0.00045998334887780313,-0.000125669693256664,-0.0019207784890286719,0.0019269055752798997,0.0014218502907533993,-0.00011225989513318716,0.0007953877232170095,0.000390369921501996,0.0007271758089026949
22,-0.0011279230910340764,-0.0013570693778092082,-0.002170072964752903,0.0006446023109233003,-0.0002393301649517999,-0.001428729555740942,-0.0006304447779283606,-0.0008693859590206124,-0.00050351875285867
23,-0.0033120532988983814,-0.002902842470761515,-0.004833766905699165,-0.0026493788996267004,-0.0026489917878395,-0.004331028710032817,-0.0034698057650895658,-0.002587011181598438,-0.0033200684711791936
24,-0.0015220155154791314,-0.00023214340551048866,-0.0019944846827530064,0.0002899812586772991,-0.0008599170706594002,-0.002057326129188756,-0.0009147906615211109,-0.0007532174868253357,-0.00124581123647452
25,-0.0022134869856962336,-0.001643269288707656,-0.004836317652783504,-0.0020145665580913004,-0.0032852915644303003,-0.002365403891574405,-0.0018441762287975567,-0.0029217897799531257,-0.002240071961454252
26,0.001302511528550974,0.002153107422605041,-0.0021150819972309775,0.0026640647270303004,0.0017818317024662,0.0005467112106321073,0.0010616374596107217,0.0011078615543180861,0.0013115880415997217
27,0.0038702017648566825,0.003304616752009431,0.00044802224179958834,0.0043980419942332,0.0040950167978632,0.0018194617173142883,0.002993919414335031,0.0022825081365167883,0.0032486963334176734
28,0.00010566426198135252,-0.0014965106849110206,-0.005755303954641476,-0.0016110004369536994,-0.0028428856690866995,-0.002241458713229752,-0.0028011649213634322,-0.003890081783407615,-0.0015659941419572084
29,-0.0018331055446370158,-0.001916966967067375,-0.004037502691404845,-0.0020810344014092997,-0.0019468389209601,-0.0024604818319535586,-0.002299270475212797,-0.001247728280668106,-0.001888586761016821
30,-0.0007511972378361547,-5.578852635756103e-05,-0.002043794451679795,-0.0007008545759477,-0.0007689280580225003,-0.001017366026704985,-0.0007141912493092203,-0.0004372119388083434,-0.00028388039125658553
31,0.001406706810894302,0.00166794686088824,0.000709600115868095,0.0014423169057385995,0.0010931802240037002,0.00029718020959105564,0.0005965540949224649,0.00033202235540138406,0.0014766961116997584
