,Mean,AR(1),MIDAS [RW],DFM [A],DFM [B],singleESN [A] [RW],singleESN [B] [RW],multiESN [A] [RW],multiESN [B] [RW]
0,-0.0019005457419318554,0.00025811243305071466,-0.002418793042137086,-0.001400350360976299,-0.006006555471160999,-0.001807805631170509,-0.0024575901104764483,-0.0014899665568434695,-0.0011344813553494613
1,0.0016662332316486634,0.0025773882394855953,0.0028497357982423376,0.0039848071341663,-0.0012091331427981004,0.004027213326738351,0.004395890493534006,0.004775987607140933,0.0023767611600482453
2,0.004477691031332139,0.003784238512183384,0.0013282844757661182,0.0041468211666007004,0.0020166417706625,0.0019094414580525954,0.0008129169241830134,0.0023393578461051055,0.003638577347333764
3,0.005139515479265084,0.0033724001656292597,0.005282028786700751,0.0059686956462595,0.0041240996594108,0.006109198857092062,0.00668461273659243,0.006527404485598718,0.006485200374765673
4,-0.0022867631197389156,-0.004349422425384451,0.0011013121425582795,-0.0008024150149337009,-0.002972124336316201,-0.0012682931542627295,-0.0013222123344245607,-0.0014518493837024958,-0.001111222275692136
5,0.005112292727960934,0.00601519519775552,0.0060567468516186836,0.006773835337560999,0.0045684069464592,0.005606839377254251,0.005503163508662109,0.005412460286525033,0.005348506413358209
6,-0.0014526208157434268,-0.003585726644777248,-0.0005374449705379362,-0.0022598338757861,-0.0033264584994335,-0.0003758627868515989,-0.0012984479031942229,-0.0018292898718877612,-0.0022720433987450826
7,-0.0006214729431738807,9.111865637068117e-06,-0.0006447140493339148,9.412841596799938e-05,-0.0008713273702419004,0.0020090890419717814,0.0018122545904872235,0.0009682009527803943,-0.00017658080726451128
8,0.010013296884808266,0.010198575522165916,0.010285804386906617,0.011043226395718,0.009670274080328299,0.01044697857424997,0.009883779629000913,0.009008362244216334,0.010995194957786341
9,-0.006428570262816476,-0.010616216835504195,-0.001212768188986437,-0.0053641802103238,-0.006121267889866999,-0.001090973646376366,-0.0014025514630384046,-0.0021239858375801564,-0.0035649136986022414
10,-0.00522887378063722,-0.00279303907080102,-0.005635300897361841,-0.0034069117219079,-0.004806824788742101,-0.0036943583184773175,-0.0036318042227042307,-0.004651635957862947,-0.003650831011675227
11,0.0018934070371354715,0.003873891437724788,-0.0005741864059247339,0.0035007225506144997,0.0016323153339753002,0.00023978852617377241,0.0004923388159365459,0.0005195393878457575,0.0008960254930610407
12,-0.001793936785515855,-0.0024538126212036403,-0.0009322225386710929,-0.0005350532433908992,-0.0023351247984874993,-0.0007515697502069926,-0.0007975086298248144,-0.0018241073045519775,-0.0017871841289495002
13,0.0005961338955710015,0.0012753394015636082,-0.005087456267290238,-3.4357517486099595e-05,-6.760617950499984e-05,-0.0012597269544061228,-0.0015609931018721436,-0.00045233312858539935,-9.481670139583134e-05
14,0.003150644793731367,0.0029368876552503544,0.0007260956369299124,0.004349332058710201,0.0027296199128160003,0.0027188446491281325,0.002751501511012004,0.0026076826798844157,0.0030642166042602506
15,0.004900473207477496,0.0035828411084224527,0.005109723411359802,0.004876063779768101,0.003970694810085801,0.004531103983341297,0.003934558485579701,0.004098810481898382,0.004632760359294965
16,0.0003503315280045183,-0.001577003628823171,-0.0046947974020386035,0.0009963172294059006,-0.0005041193042762994,-0.0013735424119501842,-0.0021371208605520872,-9.560882099251752e-05,4.014900276672322e-05
17,0.003162540612888826,0.002959704731112614,0.0015622246107673643,0.003963209730033,0.0032643346598303,0.0006354954613703328,0.002082953101427439,0.0015158632757882374,0.0022139898500337673
18,7.006296625273242e-05,-0.0011293730177581998,-0.0017007803285319515,0.00014921379851039977,-0.0008532347519377998,0.0011447905943366378,0.0006779973609411533,0.0009142264211892603,0.0005885943760139721
19,0.0011085109881079271,0.0010189422952539152,-0.0015883784585663053,0.002137604229219401,0.0001884004301410001,-0.00016331930289054542,0.0008349893385064143,0.0007981763314860073,0.0007307881624882872
20,0.0012837775959591352,0.0008958384634162693,-0.000137735173159962,0.0030208750431649006,7.652041940460052e-05,0.0012055725129206767,0.0019232512930749653,0.0026706962104056375,0.0014574055427144343
21,0.0004232147573797959,-6.157767728833929e-05,-0.0031964248138574907,0.0017208128853252996,0.0002560128465576997,-0.0002917325869569755,0.001110923855288157,0.0006777101016389314,0.0007808325496757758
22,-0.0011309256622062912,-0.001341874015218343,-0.0028758962604653656,0.0006852967372926004,-0.0003551761876387999,-0.0011846409947172632,0.0003057234786107638,6.360766689142341e-05,-0.00033358564849320267
23,-0.003340045823976222,-0.0028857213984098276,-0.006553987080082517,-0.0024502343265150007,-0.0021755837828095004,-0.004791599159552456,-0.006118411399326153,-0.004019536486504336,-0.0030839570782207016
24,-0.00155011811088949,-0.00022623236384401117,-0.002071314876943859,0.0005633142102900003,-0.00033879137300250016,-0.0019313161285027074,-0.0009483183213534968,-2.7589491449322816e-05,-0.000980109968923659
25,-0.0022534930002657246,-0.0017537137397349925,-0.003327945031739439,-0.0015413111115305002,-0.0051965865872989,-0.002020976456674409,-0.0015531243476247418,-0.002815594320735456,-0.0023877442019250208
26,0.0011494895942887667,0.002067149508228455,-0.0010965217358483229,0.0033645065996512,0.0006078302060559,9.168740887135086e-05,0.0010893304810725285,0.0010913944635944708,0.0012565205119000654
27,0.0036816631990611824,0.0031888916710729187,0.0006841092428300807,0.0052011718000096,0.0034824991030021,0.0016769549849532913,0.0034120451978443935,0.0025525782331305884,0.0032777633464516776
28,-0.00014157300588578826,-0.001597496618656405,-0.0023600702263461195,-0.0013782254040225995,-0.0024704616194332,-0.0018730317241123437,-0.0024711336997269915,-0.0036398212644203516,-0.0015419017037238162
29,-0.002084834624737752,-0.0021487421796332158,-0.004200537956361556,-0.001840117671483,-0.0014295776964102997,-0.0026430576374873145,-0.002212622612021967,-0.0012933581732854924,-0.0018323567474919028
30,-0.0011160203273501345,-0.0003405685755193859,-0.002053300035237692,-1.7047515301200217e-05,0.000787187953534,-0.0007800712713963735,-0.0004781428530158307,-3.839503487482101e-05,-0.0001662368715781553
31,0.0009719505682586381,0.0013989649814449608,-0.00048051509973723316,0.0021370526130442,0.0032235313139716004,0.00027600069550434876,0.00014323945697525438,0.00018568440384900044,0.0013197369030625815
